TradingSymbol,Name,InstrumentType,TimeStamp,Open,High,Low,Close,Volume
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:54,  3.40 ,  3.45 ,  3.40 ,  3.45 ,""  6,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:55,  3.45 ,  3.50 ,  3.45 ,  3.50 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:56,  3.50 ,  3.50 ,  3.50 ,  3.50 ,""  2,500.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 09:57,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:58,  3.45 ,  3.45 ,  3.45 ,  3.45 ,""  3,750.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 09:59,  3.45 ,  3.45 ,  3.45 ,  3.45 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:00,  3.45 ,  3.45 ,  3.45 ,  3.45 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:01,  3.40 ,  3.55 ,  3.40 ,  3.55 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:02,  3.55 ,  3.55 ,  3.55 ,  3.55 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:03,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:04,  3.55 ,  3.55 ,  3.55 ,  3.55 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:05,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:06,  3.40 ,  3.40 ,  3.40 ,  3.40 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:07,  3.40 ,  3.40 ,  3.40 ,  3.40 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:08,  3.30 ,  3.40 ,  3.30 ,  3.40 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:09,  3.40 ,  3.40 ,  3.40 ,  3.40 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:10,  3.40 ,  3.40 ,  3.40 ,  3.40 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:11,  3.40 ,  3.40 ,  3.40 ,  3.40 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:12,  3.40 ,  3.40 ,  3.40 ,  3.40 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:13,  3.40 ,  3.40 ,  3.40 ,  3.40 ,""  5,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:14,  3.40 ,  3.70 ,  3.40 ,  3.70 ,""  7,500.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:15,  3.70 ,  3.70 ,  3.70 ,  3.70 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:16,  3.75 ,  3.75 ,  3.75 ,  3.75 ,""  11,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:17,  3.75 ,  3.75 ,  3.65 ,  3.65 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:18,  3.65 ,  3.65 ,  3.65 ,  3.65 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:19,  3.65 ,  3.70 ,  3.65 ,  3.70 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:20,  3.70 ,  3.70 ,  3.70 ,  3.70 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:21,  3.70 ,  3.70 ,  3.70 ,  3.70 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:22,  3.70 ,  3.70 ,  3.70 ,  3.70 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:23,  3.85 ,  3.85 ,  3.75 ,  3.75 ,""  47,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:24,  3.75 ,  3.80 ,  3.75 ,  3.75 ,""  6,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:25,  3.75 ,  3.80 ,  3.75 ,  3.80 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:26,  3.80 ,  3.80 ,  3.80 ,  3.80 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:27,  3.75 ,  3.75 ,  3.65 ,  3.65 ,""  10,000.00 """
